filename,split,entropy_pseudo,entropy_gt,entropy_diff
tokyo_20.tif,train,1.2747,1.6340,-0.3593
khartoum_20.tif,train,1.0623,1.1973,-0.1350
melbourne_25.tif,train,1.3450,1.2612,0.0838
muenster_14.tif,train,1.7732,1.8943,-0.1211
swietokrzyskie_23.tif,train,0.5860,0.6647,-0.0788
lohur_34.tif,train,0.4027,0.5436,-0.1409
baybay_58.tif,train,0.4773,0.8047,-0.3273
paris_38.tif,train,0.6405,1.1098,-0.4693
khartoum_21.tif,train,0.5482,0.5180,0.0302
svaneti_45.tif,train,0.5685,0.5899,-0.0214
paris_70.tif,train,1.4771,1.5303,-0.0531
chisinau_66.tif,train,0.9743,1.0385,-0.0642
kitsap_26.tif,train,1.2946,1.5522,-0.2576
aachen_21.tif,train,1.4648,1.4794,-0.0146
coxsbazar_54.tif,train,0.4748,0.3524,0.1224
sechura_31.tif,train,0.7984,0.9806,-0.1823
pomorskie_32.tif,train,0.9912,0.9854,0.0058
rio_12.tif,train,1.6199,1.7185,-0.0986
pisco_33.tif,train,0.6527,0.6557,-0.0030
kitsap_14.tif,train,1.5886,1.6286,-0.0400
bielefeld_56.tif,train,1.0128,1.1915,-0.1787
melbourne_34.tif,train,1.2932,1.3184,-0.0252
tokyo_31.tif,train,0.9762,1.1127,-0.1365
chincha_18.tif,train,0.8654,0.9707,-0.1052
kyoto_35.tif,train,0.3272,0.1415,0.1857
ngaoundere_3.tif,train,1.0814,1.4275,-0.3461
monrovia_51.tif,train,0.8387,0.8300,0.0087
tonga_62.tif,train,1.5294,1.4693,0.0602
bielefeld_34.tif,train,0.5410,0.7769,-0.2359
tonga_65.tif,train,0.9575,0.9833,-0.0258
rotterdam_31.tif,train,1.2690,1.4789,-0.2099
zanzibar_111.tif,train,0.4429,0.4093,0.0336
kagera_27.tif,train,1.0206,0.7929,0.2277
tonga_47.tif,train,1.3282,1.3262,0.0020
baybay_36.tif,train,0.7209,0.9090,-0.1881
santiago_70.tif,train,1.1528,1.1892,-0.0364
christchurch_5.tif,train,1.5389,1.5111,0.0278
christchurch_64.tif,train,0.5838,0.5503,0.0335
swietokrzyskie_26.tif,train,0.1472,0.0711,0.0761
accra_43.tif,train,0.7350,0.8492,-0.1143
dhaka_46.tif,train,1.2025,1.2277,-0.0252
ulaanbaatar_46.tif,train,0.7704,1.2794,-0.5090
dowa_15.tif,train,1.1108,1.2070,-0.0962
baybay_7.tif,train,0.6309,0.6694,-0.0385
baybay_39.tif,train,0.1439,0.1781,-0.0341
zanzibar_17.tif,train,0.5930,0.7829,-0.1898
zanzibar_113.tif,train,0.6112,0.5364,0.0748
chisinau_59.tif,train,1.0998,1.1893,-0.0895
viru_5.tif,train,1.1747,1.0762,0.0985
paris_50.tif,train,1.2921,1.4948,-0.2028
piura_25.tif,train,0.8528,0.9332,-0.0804
shanghai_7.tif,train,1.3633,1.4392,-0.0759
chiclayo_28.tif,train,0.7512,0.7100,0.0411
tyrolw_61.tif,train,0.6176,0.5891,0.0286
aachen_30.tif,train,1.5310,1.5946,-0.0636
daressalaam_94.tif,train,1.3988,1.5542,-0.1554
kagera_15.tif,train,1.1664,1.0129,0.1534
kitsap_39.tif,train,1.5258,1.5172,0.0087
christchurch_50.tif,train,0.8477,0.9059,-0.0582
vegas_19.tif,train,0.3335,0.4268,-0.0933
chisinau_40.tif,train,1.0948,1.1721,-0.0772
malopolskie_1.tif,train,0.2602,0.2536,0.0066
wielkopolskie_26.tif,train,0.5956,0.2179,0.3778
bielefeld_42.tif,train,1.4056,1.4936,-0.0880
kampala_6.tif,train,1.4689,1.4929,-0.0240
podkarpackie_7.tif,train,0.1289,0.0354,0.0935
shanghai_40.tif,train,1.2407,1.3686,-0.1279
muenster_68.tif,train,0.4622,0.5046,-0.0425
maputo_14.tif,train,1.1228,1.2393,-0.1165
aachen_64.tif,train,0.6467,0.6068,0.0399
baybay_8.tif,train,0.6585,0.7849,-0.1264
kagera_36.tif,train,1.0782,1.1149,-0.0367
baybay_13.tif,train,0.4737,0.8333,-0.3596
shanghai_28.tif,train,0.9429,1.1770,-0.2341
kagera_66.tif,train,1.0358,0.9741,0.0617
svaneti_54.tif,train,0.4653,0.4929,-0.0276
austin_45.tif,train,1.1763,1.2968,-0.1206
baybay_2.tif,train,1.1166,1.2834,-0.1668
pomorskie_38.tif,train,0.9117,0.9501,-0.0384
bogota_3.tif,train,1.2936,1.2823,0.0113
ica_9.tif,train,1.2418,1.3431,-0.1013
piura_45.tif,train,1.0155,1.1618,-0.1462
zanzibar_19.tif,train,0.7544,0.7354,0.0190
monrovia_57.tif,train,1.1437,0.9613,0.1824
lubuskie_7.tif,train,0.4124,0.4862,-0.0738
accra_65.tif,train,1.2470,1.2745,-0.0275
kitsap_15.tif,train,1.5852,1.6336,-0.0484
