filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
ngaoundere_17.tif,train,454981,3214,547,342774,31671,45104,154816,16808,12739,21213,134025,4415,2901,8487,109893,12966,8389
kagera_13.tif,train,431078,0,8472,295702,90761,100416,52905,0,3974,26608,251437,0,2842,6682,17661,1670,3026
koeln_53.tif,train,318885,0,0,29654,161220,23205,30327,10081,15139,33045,13747,0,68066,197442,26888,25458,3498
bielefeld_57.tif,train,328677,0,0,285409,27485,22187,2025,927,9055,19190,286980,0,0,0,0,964,3132
zanzibar_93.tif,train,307806,0,0,42810,217069,18565,84089,6332,665,174156,116,0,157,0,4222,65943,1488
pomorskie_36.tif,train,143136,0,0,26579,113699,0,71,9339,1647,98070,27227,0,0,8993,492,155,0
aachen_43.tif,train,333755,0,0,87237,88757,91930,129756,56337,17185,68142,34822,0,0,0,4573,30109,58662
duesseldorf_62.tif,train,500708,26681,0,86181,56083,25180,93323,24034,6400,18744,61927,277748,1671,0,269267,42140,12037
ngaoundere_51.tif,train,266615,0,0,140903,42435,16978,42302,11003,10878,10680,108775,7943,348,54882,51588,24226,10289
tokyo_67.tif,train,419009,0,0,6404,86143,145543,174517,125808,5449,42650,10153,0,4,66997,1495,31607,141248
austin_6.tif,train,279147,0,0,75747,21641,69596,149014,105556,68092,23412,19688,0,0,0,0,4836,20712
kagera_37.tif,train,369333,25373,0,205410,126752,10367,60557,0,6334,14803,143436,1002,1800,110291,25965,2087,4489
paris_22.tif,train,613372,0,0,422834,14392,86955,265330,38807,16076,50125,51227,0,0,0,7195,14651,259152
piura_6.tif,train,215351,0,5241,104908,13304,29486,121303,35412,4574,17270,47733,0,633,20507,11311,7768,11252
mahe_47.tif,train,262649,16489,0,36124,44096,43355,68078,11788,7284,13838,9237,128604,5456,0,107474,12451,21024
ica_2.tif,train,461446,0,1383,12532,11916,31520,395617,13540,13279,16785,16771,9785,944,339491,8498,37793,13038
accra_32.tif,train,327091,0,0,15897,1727,171829,135325,20780,35230,36443,24334,0,0,0,0,82142,130475
mazowieckie_34.tif,train,102933,0,0,79863,15102,3288,297,2994,1508,2767,69670,0,0,12760,16227,1261,129
viru_18.tif,train,506644,0,0,79518,255584,42453,62174,8076,17566,19309,53461,4967,35729,326802,58883,25519,23247
monrovia_42.tif,train,539274,0,210,78803,27808,11982,379425,0,10624,16556,58727,417336,30280,0,4211,14597,27989
dortmund_22.tif,train,308598,0,0,153131,26017,63432,124522,39276,32134,22592,72543,603,0,0,4156,29564,49226
bielefeld_46.tif,train,118993,0,0,45965,26947,29739,29978,10182,13826,19591,6528,0,0,2989,31097,10527,10617
vienna_19.tif,train,230694,0,0,90679,13185,81572,66293,4960,33715,18156,64794,2060,0,0,0,33267,52707
muenster_49.tif,train,253146,0,0,105069,18993,65831,88971,21197,42953,22958,26565,0,0,0,58337,38091,17327
podkarpackie_18.tif,train,379251,0,0,188867,114815,64576,23891,8161,22195,64566,91864,8121,77,15617,117427,29343,8982
baybay_24.tif,train,166969,0,0,62285,71704,1645,6379,0,3325,45640,68818,2759,14237,52740,1646,1900,860
christchurch_59.tif,train,272313,0,0,93609,62081,104035,94809,15364,11510,43613,22306,409,0,0,0,15283,81607
khartoum_56.tif,train,494810,0,1765,47041,17661,326500,78249,59762,17432,12993,54812,0,89848,0,150404,48514,84639
kagera_53.tif,train,283631,0,306,47990,191898,43919,7120,2319,8914,133512,52221,0,4686,51111,10987,4780,7499
sechura_1.tif,train,159651,0,0,2532,2650,53430,94619,69026,17543,9668,8182,614,0,0,0,24381,36657
