filename,split,img_height,img_width,total_valid_pixels,correct_pixels,noisy_pixels,accuracy,noise_ratio,mIoU,mean_precision,mean_recall,most_misclassified_class_id,most_misclassified_class_name,edge_error_pixels,non_edge_error_pixels,edge_total_pixels,edge_error_rate,non_edge_error_rate,Barren_gt_pixels,Barren_pred_pixels,Barren_iou,Barren_precision,Barren_recall,Barren_tp,Barren_fp,Barren_fn,Rangeland_gt_pixels,Rangeland_pred_pixels,Rangeland_iou,Rangeland_precision,Rangeland_recall,Rangeland_tp,Rangeland_fp,Rangeland_fn,Developed_gt_pixels,Developed_pred_pixels,Developed_iou,Developed_precision,Developed_recall,Developed_tp,Developed_fp,Developed_fn,Road_gt_pixels,Road_pred_pixels,Road_iou,Road_precision,Road_recall,Road_tp,Road_fp,Road_fn,Tree_gt_pixels,Tree_pred_pixels,Tree_iou,Tree_precision,Tree_recall,Tree_tp,Tree_fp,Tree_fn,Water_gt_pixels,Water_pred_pixels,Water_iou,Water_precision,Water_recall,Water_tp,Water_fp,Water_fn,Agriculture_gt_pixels,Agriculture_pred_pixels,Agriculture_iou,Agriculture_precision,Agriculture_recall,Agriculture_tp,Agriculture_fp,Agriculture_fn,Building_gt_pixels,Building_pred_pixels,Building_iou,Building_precision,Building_recall,Building_tp,Building_fp,Building_fn,confusion_rank1_gt,confusion_rank1_pred,confusion_rank1_pixels,confusion_rank2_gt,confusion_rank2_pred,confusion_rank2_pixels,confusion_rank3_gt,confusion_rank3_pred,confusion_rank3_pixels
pomorskie_17.tif,train,1024,1024,1048559,933899,114660,0.8906,0.1094,0.4297,0.5214,0.6889,1,Rangeland,23955,90705,44208,0.5419,0.0903,0,0,N/A,N/A,N/A,0,0,0,112905,99875,0.3900,0.5978,0.5288,59703,40172,53202,5643,19518,0.2254,0.2371,0.8201,4628,14890,1015,5238,5444,0.2548,0.3984,0.4141,2169,3275,3069,497434,482306,0.8493,0.9329,0.9045,449942,32364,47492,412607,425203,0.9608,0.9655,0.9949,410522,14681,2085,0,2835,0.0000,0.0000,N/A,0,2835,0,14732,13378,0.3275,0.5184,0.4707,6935,6443,7797,Tree,Rangeland,34170,Rangeland,Tree,28345,Rangeland,Developed,10561
monrovia_9.tif,train,1024,1024,1048576,724852,323724,0.6913,0.3087,0.3455,0.5632,0.6082,5,Water,68959,254765,118898,0.5800,0.2740,0,596,0.0000,0.0000,N/A,0,596,0,222174,202846,0.4484,0.6487,0.5923,131586,71260,90588,118211,256515,0.3680,0.3930,0.8527,100800,155715,17411,12405,5470,0.3244,0.8004,0.3529,4378,1092,8027,427287,483676,0.7745,0.8220,0.9305,397599,86077,29688,196200,39083,0.1921,0.9699,0.1932,37908,1175,158292,0,40,0.0000,0.0000,N/A,0,40,0,72299,60350,0.6567,0.8713,0.7273,52581,7769,19718,Water,Developed,84155,Rangeland,Tree,48435,Water,Rangeland,45542
mazowieckie_14.tif,train,1024,1024,1048576,943995,104581,0.9003,0.0997,0.4091,0.6558,0.5453,1,Rangeland,11959,92622,20518,0.5829,0.0901,0,0,N/A,N/A,N/A,0,0,0,79796,38271,0.1565,0.4175,0.2003,15980,22291,63816,2534,944,0.3280,0.9100,0.3390,859,85,1675,0,3611,0.0000,0.0000,N/A,0,3611,0,48864,27464,0.5003,0.9268,0.5209,25453,2011,23411,0,0,N/A,N/A,N/A,0,0,0,911675,973152,0.9096,0.9226,0.9848,897812,75340,13863,5707,5134,0.5599,0.7579,0.6818,3891,1243,1816,Rangeland,Agriculture,60698,Tree,Agriculture,13081,Agriculture,Rangeland,11441
mahe_46.tif,train,1024,1024,1048576,758311,290265,0.7232,0.2768,0.3776,0.6307,0.5726,1,Rangeland,109167,181098,198152,0.5509,0.2130,1164,0,0.0000,N/A,0.0000,0,0,1164,224985,51106,0.2044,0.9167,0.2082,46849,4257,178136,165206,277555,0.4029,0.4581,0.7697,127158,150397,38048,61118,47569,0.5368,0.7981,0.6212,37965,9604,23153,237539,309337,0.6729,0.7111,0.9260,219967,89370,17572,0,327,0.0000,0.0000,N/A,0,327,0,0,0,N/A,N/A,N/A,0,0,0,358564,362682,0.8265,0.8999,0.9102,326372,36310,32192,Rangeland,Developed,86451,Rangeland,Tree,76659,Building,Developed,29135
kagera_10.tif,train,1024,1024,1048576,663431,385145,0.6327,0.3673,0.3154,0.5006,0.5045,1,Rangeland,88978,296167,163444,0.5444,0.3346,0,0,N/A,N/A,N/A,0,0,0,389310,327306,0.3790,0.6017,0.5059,196939,130367,192371,60071,128735,0.2168,0.2613,0.5599,33636,95099,26435,36344,9926,0.1634,0.6547,0.1788,6499,3427,29845,480428,509494,0.5959,0.7255,0.7694,369649,139845,110779,0,796,0.0000,0.0000,N/A,0,796,0,19776,7083,0.1311,0.4395,0.1574,3113,3970,16663,62647,65236,0.7214,0.8216,0.8555,53595,11641,9052,Rangeland,Tree,130527,Tree,Rangeland,90289,Rangeland,Developed,52686
kagera_62.tif,train,1024,1024,1047935,487348,560587,0.4651,0.5349,0.1951,0.3436,0.4620,6,Agriculture,66076,494511,108845,0.6071,0.5266,0,389,0.0000,0.0000,N/A,0,389,0,345425,371711,0.2563,0.3936,0.4235,146303,225408,199122,68793,24355,0.0572,0.2069,0.0733,5040,19315,63753,0,9499,0.0000,0.0000,N/A,0,9499,0,318275,536511,0.4076,0.4613,0.7776,247505,289006,70770,0,2693,0.0000,0.0000,N/A,0,2693,0,277339,59540,0.2031,0.9550,0.2050,56861,2679,220478,38103,43237,0.6366,0.7318,0.8304,31639,11598,6464,Rangeland,Tree,183480,Agriculture,Rangeland,120402,Agriculture,Tree,94374
vegas_36.tif,train,650,650,422467,277313,145154,0.6564,0.3436,0.3445,0.5119,0.4917,1,Rangeland,11856,133298,19713,0.6014,0.3310,0,0,N/A,N/A,N/A,0,0,0,73876,11956,0.1223,0.7825,0.1266,9355,2601,64521,68274,91657,0.3505,0.4529,0.6080,41509,50148,26765,31353,74562,0.1687,0.2050,0.4876,15288,59274,16065,38499,40261,0.6125,0.7431,0.7771,29916,10345,8583,2252,2667,0.3600,0.4882,0.5782,1302,1365,950,9,4045,0.0000,0.0000,0.0000,0,4045,9,208204,197319,0.7977,0.9119,0.8643,179943,17376,28261,Rangeland,Road,46070,Building,Developed,26807,Developed,Building,15134
lambayeque_28.tif,train,1024,1024,1048576,542701,505875,0.5176,0.4824,0.2827,0.5588,0.4687,6,Agriculture,66216,439659,110926,0.5969,0.4689,0,204609,0.0000,0.0000,N/A,0,204609,0,239885,197627,0.2750,0.4775,0.3934,94370,103257,145515,358490,472739,0.5951,0.6560,0.8651,310114,162625,48376,23007,5328,0.1828,0.8219,0.1903,4379,949,18628,171815,127480,0.5175,0.8006,0.5940,102061,25419,69754,0,4841,0.0000,0.0000,N/A,0,4841,0,254285,35098,0.1203,0.8852,0.1222,31069,4029,223216,1094,854,0.5710,0.8290,0.6472,708,146,386,Agriculture,Barren,115198,Agriculture,Developed,75087,Rangeland,Developed,61652
santiago_16.tif,train,1024,1024,1048576,789411,259165,0.7528,0.2472,0.3147,0.5220,0.4662,1,Rangeland,33126,226039,63454,0.5220,0.2295,0,0,N/A,N/A,N/A,0,0,0,177639,107585,0.1561,0.3580,0.2168,38518,69067,139121,41083,15690,0.2755,0.7815,0.2984,12261,3429,28822,56523,42062,0.4731,0.7527,0.5601,31660,10402,24863,769341,880086,0.7476,0.8018,0.9172,705622,174464,63719,0,70,0.0000,0.0000,N/A,0,70,0,0,0,N/A,N/A,N/A,0,0,0,3990,3083,0.2359,0.4379,0.3383,1350,1733,2640,Rangeland,Tree,136532,Tree,Rangeland,57551,Developed,Tree,19823
bielefeld_28.tif,train,1000,1000,1000000,685014,314986,0.6850,0.3150,0.4702,0.7491,0.5910,1,Rangeland,103073,211913,194590,0.5297,0.2631,0,0,N/A,N/A,N/A,0,0,0,236110,143229,0.3399,0.6719,0.4076,96238,46991,139872,267670,296268,0.5515,0.6766,0.7489,200457,95811,67213,136159,103489,0.4633,0.7332,0.5573,75881,27608,60278,229439,314551,0.5893,0.6412,0.8791,201704,112847,27735,1727,1074,0.6181,0.9963,0.6196,1070,4,657,10281,0,0.0000,N/A,0.0000,0,0,10281,118614,141389,0.7294,0.7756,0.9245,109664,31725,8950,Rangeland,Tree,98912,Road,Developed,50886,Rangeland,Developed,30371
