filename,split,region,noise_ratio,dominant_error,tsne_x,tsne_y
melbourne_25.tif,train,melbourne,0.3000,Tree,27.1520,-9.1114
muenster_14.tif,train,muenster,0.3034,Water,14.1776,9.6283
swietokrzyskie_23.tif,train,swietokrzyskie,0.2353,Water,-40.4779,-19.9981
lohur_34.tif,train,lohur,0.2780,Water,-46.1038,-20.5029
baybay_58.tif,train,baybay,0.3054,Rangeland,-23.2491,8.0076
paris_38.tif,train,paris,0.4318,Tree,13.8013,-13.9290
khartoum_21.tif,train,khartoum,0.6728,Road,-8.8223,19.8849
svaneti_45.tif,train,svaneti,0.5063,Agriculture,-17.5534,-14.3522
paris_70.tif,train,paris,0.4867,Tree,21.3424,-2.6259
chisinau_66.tif,train,chisinau,0.2972,Rangeland,42.2777,-19.5001
kitsap_26.tif,train,kitsap,0.3207,Rangeland,38.1124,9.1250
aachen_21.tif,train,aachen,0.3472,Rangeland,-18.0963,-18.6780
coxsbazar_54.tif,train,coxsbazar,0.1188,Developed,-35.5758,11.5877
sechura_31.tif,train,sechura,0.3690,Bareland,29.4636,5.8858
pomorskie_32.tif,train,pomorskie,0.2407,Tree,-30.8382,27.9748
rio_12.tif,train,rio,0.3526,Rangeland,42.7205,4.5418
pisco_33.tif,train,pisco,0.6909,Agriculture,-18.0348,23.0404
kitsap_14.tif,train,kitsap,0.2803,Water,16.6236,12.9276
bielefeld_56.tif,train,bielefeld,0.3694,Developed,-15.8928,3.8197
melbourne_34.tif,train,melbourne,0.3383,Water,28.3979,13.6538
tokyo_31.tif,train,tokyo,0.5459,Tree,42.2777,8.5509
chincha_18.tif,train,chincha,0.2031,Water,25.6460,8.9201
kyoto_35.tif,train,kyoto,0.2292,Water,-39.2839,5.0478
ngaoundere_3.tif,train,ngaoundere,0.4196,Bareland,-2.3402,-12.1251
monrovia_51.tif,train,monrovia,0.2708,Water,22.7696,9.2232
tonga_62.tif,train,tonga,0.3722,Water,4.4695,26.1277
bielefeld_34.tif,train,bielefeld,0.3748,Water,-20.6493,-6.6645
tonga_65.tif,train,tonga,0.2511,Bareland,-16.4821,39.8034
rotterdam_31.tif,train,rotterdam,0.3866,Developed,4.5811,47.2557
zanzibar_111.tif,train,zanzibar,0.7883,Bareland,-10.4078,25.7170
kagera_27.tif,train,kagera,0.5156,Rangeland,-27.6417,-1.6085
tonga_47.tif,train,tonga,0.3069,Tree,19.4472,-10.1075
baybay_36.tif,train,baybay,0.1706,Rangeland,-26.9238,-10.1774
santiago_70.tif,train,santiago,0.3341,Water,0.1835,12.4411
christchurch_5.tif,train,christchurch,0.3386,Water,8.4783,13.9262
christchurch_64.tif,train,christchurch,0.3102,Bareland,-6.3130,47.8933
swietokrzyskie_26.tif,train,swietokrzyskie,0.0627,Building,-56.4339,-6.7223
accra_43.tif,train,accra,0.2176,Tree,9.9912,-8.1046
dhaka_46.tif,train,dhaka,0.2223,Developed,0.2049,48.0308
ulaanbaatar_46.tif,train,ulaanbaatar,0.4187,Rangeland,33.2782,-0.7062
dowa_15.tif,train,dowa,0.2639,Rangeland,-9.6588,-43.5938
baybay_7.tif,train,baybay,0.1901,Building,-29.4517,-10.0756
baybay_39.tif,train,baybay,0.0547,Developed,-51.6306,-13.8949
zanzibar_17.tif,train,zanzibar,0.3252,Building,-20.9234,11.9418
zanzibar_113.tif,train,zanzibar,0.7650,Bareland,-10.3815,25.2167
chisinau_59.tif,train,chisinau,0.2229,Rangeland,47.4373,-11.1523
viru_5.tif,train,viru,0.2502,Rangeland,44.6259,-2.7175
paris_50.tif,train,paris,0.5144,Rangeland,23.3718,-0.9888
piura_25.tif,train,piura,0.4204,Water,-46.0611,-7.6931
shanghai_7.tif,train,shanghai,0.3596,Rangeland,40.4962,5.9782
chiclayo_28.tif,train,chiclayo,0.1689,Rangeland,-43.6138,-1.2264
tyrolw_61.tif,train,tyrolw,0.2018,Water,-37.8283,-26.5951
aachen_30.tif,train,aachen,0.2740,Water,11.6052,10.7377
daressalaam_94.tif,train,daressalaam,0.2132,Water,21.0893,17.5489
kagera_15.tif,train,kagera,0.3818,Agriculture,-27.7303,-3.9790
